site,fullrep,species,uevent,totbit,totmsbit,grpsiz,posi,indfeeding
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,8_2",1,0.270213483,1,4,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,8_3",4,1.080853933,1,4,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,8_7",3,0.81064045,1,4,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,10_3",2,0.540426967,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,12_3",7,1.891494383,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,3_1",6,1.6212809,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,3_3",5,1.351067417,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,3_5",1,0.270213483,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,4_2",6,1.6212809,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,5_2",10,2.702134833,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,5_3",3,0.81064045,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_1,5_4",4,1.080853933,1,1,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,1_2",1,0.270213483,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,12_3",22,5.944696633,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,13_1",4,1.080853933,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,4_2",7,1.891494383,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,4_3",1,0.270213483,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,5_1",3,0.81064045,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,7_1",1,0.270213483,1,2,1
rl,rl_1_1,Siganus virgatus ,"rl_1_1_2,8_1",9,1.862958427,1,2,2
