series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi,delta
andren_lynx_roedeer_data_7,0.05816207832493214,0.75,0.07485821147850553,0.07478785280738667,0.07482304041303049,0.16314731023904247,0.2301520408069345,0.19948309041850038,0.15675764654619984,0.0072023858586221295,True,0.95,3.841458820694124,usable_limit,0.014457378342464217,630.1537814061599,0.07731370848527663,2.2520234312672026e-05,0.010000000000000004,0.5920837672337845,3.473988370841444e-05,1.0
andren_lynx_roedeer_data_7,0.07754943776657619,1.0,0.07456231226535678,0.0761120873612974,0.07534118479573554,0.15077652185557813,0.22440778247896456,0.1911706206246032,0.1589362355399048,0.3936619510162482,True,0.95,3.841458820694124,success,0.0242467629312653,763.7121506788159,0.07713336042337167,7.75479271420297e-06,0.010000000000000004,0.5996719341256146,3.494263383235596e-05,1.0
andren_lynx_roedeer_data_7,0.11632415664986429,1.5,0.07433067054940942,0.07623501005389659,0.07528886153423545,0.15263605788965207,0.22462098971481695,0.1920317098665701,0.15871555479139576,0.35475732563445633,True,0.95,3.841458820694124,success,0.02401414645768332,751.3169169159778,0.07700039199106688,7.800131238023299e-06,0.010000000000000004,0.5966572705155656,3.493287598324615e-05,1.0
andren_lynx_roedeer_data_7,0.15509887553315238,2.0,0.07472682227512228,0.07539346525816157,0.0750608838576103,0.1582953428622228,0.2315760818184555,0.1983493096058777,0.15775581599359853,0.18492983916625444,True,0.95,3.841458820694124,usable_limit,0.01703981803821552,681.0706768783548,0.07646875400617481,7.876687865006603e-06,0.010000000000000004,0.5949308533297469,3.4887475242693966e-05,1.0
andren_lynx_roedeer_data_7,0.23264831329972857,3.0,0.07483340900092027,0.0755864634272902,0.07521087872157887,0.15616209111754473,0.23034703616811353,0.19678205682129474,0.15838693578601729,0.29672349923477265,True,0.95,3.841458820694124,usable_limit,0.018363774008280792,710.4544310714879,0.07670746598352714,7.4637416051816024e-06,0.010000000000000004,0.5981844872653063,3.497870631955645e-05,1.0
andren_lynx_roedeer_data_7,0.38774718883288095,5.0,0.07359377358467885,0.0813469361721673,0.07756728542056772,0.15866522851265116,0.2269533807304274,0.19580920785798372,0.1684671454904429,2.024316461371269,True,0.95,3.841458820694124,success,0.024285199368849642,766.7914541104772,0.07725022624985703,7.74857280605765e-06,0.010100000000000003,0.6012746741454381,3.494267202312098e-05,1.0
timeserieslogmeans_WRHW,0.0,0.0,0.16277968202992327,0.20178518973959908,0.18332278592691215,0.024775111290976284,0.21584245141471836,0.15362579531477666,3.293509896320437,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,0.4245609131154361,0.25,0.1627796847533402,0.2017918726278161,0.18332646512033876,0.02477511129097628,0.21583653781566323,0.1536216410466515,3.293642095724841,0.0034853174305864722,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,0.8491218262308722,0.5,0.16277968293646639,0.20178595082289488,0.18332320519562745,0.02477511129097628,0.21583053375037242,0.15361742322804878,3.293524961193416,0.0,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,1.2736827393463082,0.75,0.16277968069901452,0.20178517604584298,0.18332277779960263,0.024775111290976284,0.2158423312383354,0.15362571089156848,3.293509604295923,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,1.6982436524617444,1.0,0.1627796858874559,0.2017923448460857,0.18332672551499463,0.02477511129097628,0.21583681224437512,0.15362183383115482,3.2936514522289175,0.003763713221768484,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,2.5473654786926163,1.5,0.16277968310402885,0.20178728428182321,0.18332393914773024,0.02477511129097628,0.21584309626324558,0.15362624831711694,3.2935513331347885,0.0007847033005264609,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,3.3964873049234887,2.0,0.162779681585938,0.20178701128373497,0.183323788227335,0.024775111290976284,0.21584260362113522,0.15362590223889777,3.2935459103420355,nan,False,,,failed,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,5.094730957385233,3.0,0.1627796809662475,0.20178829487439628,0.18332449438603343,0.02477511129097628,0.2158430642725993,0.1536262258438736,3.2935712837056905,0.0013783330421262335,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_WRHW,8.491218262308722,5.0,0.16277967886938774,0.20178913052305195,0.18332495336160637,0.02477511129097628,0.21584326644998356,0.1536263678723136,3.2935877754534446,0.0018690426987099805,True,0.95,3.841458820694124,success,1.0202747217215733,22262545.828896534,0.09059453053093154,3.1757654305670455e-08,0.013231038583942777,0.03528526006200876,5.9991243281875394e-05,1.0
timeserieslogmeans_TP,0.0,0.0,0.16190722066252408,0.19037923138987778,0.1767175710664674,0.03166803659900485,0.12176258831279634,0.0889634544480694,2.997993592668668,0.010516611753880186,True,0.95,3.841458820694124,success,0.8099308063702897,316.36349879685,0.14539514019183172,2.7541687307578727e-07,0.010000000000000004,0.04061659780967192,0.0006043101811054462,1.0
timeserieslogmeans_TP,2.0794094277566777,0.25,0.16200395487219643,0.19035437762339358,0.1767485084443744,0.0313628623281209,0.1228995513276438,0.08968815097310463,2.9990433827818643,0.04412649353675614,True,0.95,3.841458820694124,usable_limit,0.8073429631509809,315.3917167883668,0.14419608117617239,2.754143223102917e-07,0.010081485348330763,0.0403084472241488,0.0006034841437481881,1.0
