series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total
andren_lynx_roedeer_data_4,0.0,0.0,0.03757947852987369,0.0675167388052933,0.05463848106179122,0.057552708434971504,0.07216794295784386,0.06527069112154185
andren_lynx_roedeer_data_4,0.42517006802721086,0.25,0.03761591918880096,0.0675331449731025,0.054661151864813844,0.05755285903263541,0.07217476883017136,0.06527453116843919
andren_lynx_roedeer_data_4,0.8503401360544217,0.5,0.03757969781697698,0.06746796069372413,0.05460842154917686,0.05755347038617582,0.07217033820905339,0.06527235123197864
andren_lynx_roedeer_data_4,1.2755102040816326,0.75,0.03757167136940127,0.06750569707063472,0.0546289741185142,0.057553929616964136,0.07218141430393503,0.06527867716670879
andren_lynx_roedeer_data_4,1.7006802721088434,1.0,0.03755300866754037,0.06752645033658938,0.05463538210282891,0.05755391697171219,0.07218134526276916,0.06527863342139535
andren_lynx_roedeer_data_4,2.5510204081632653,1.5,0.03755963444111219,0.06746180220152256,0.0545977146757414,0.05755129308171505,0.07216992050847053,0.065271160406325
andren_lynx_roedeer_data_4,3.401360544217687,2.0,0.03757459782111016,0.06745544608038966,0.054598935920595254,0.057552762343071516,0.07218235672970573,0.06527868364317929
andren_lynx_roedeer_data_4,5.1020408163265305,3.0,0.03758719630131472,0.06741415682461209,0.05457776958692504,0.057551272039777425,0.07217005725679423,0.06527122673064076
andren_lynx_roedeer_data_4,8.503401360544217,5.0,0.03756942386962933,0.06745861948943876,0.05459911607946031,0.05755308281046545,0.07217016082780806,0.06527208229748754
andren_lynx_roedeer_data_5,0.0,0.0,0.03714419593495914,0.07921607317087266,0.06186629753051206,0.06717678979736882,0.05264631196802313,0.06035045671456965
andren_lynx_roedeer_data_5,0.15678449258836946,0.25,0.03712302798948869,0.07920537205621407,0.06185309276694115,0.06717747751981268,0.05263825620012969,0.06034732596277746
andren_lynx_roedeer_data_5,0.3135689851767389,0.5,0.03712326860857641,0.07918543223194806,0.061840398405673916,0.06717388540377624,0.05266102675032657,0.060355259168685026
andren_lynx_roedeer_data_5,0.4703534777651084,0.75,0.037154383695979044,0.07918836676615,0.06185161945704544,0.06717790260520486,0.05263493941041302,0.060346116052204385
andren_lynx_roedeer_data_5,0.6271379703534778,1.0,0.03709262108752073,0.07920037474953004,0.061840770934749774,0.06717723501574409,0.05264054554786917,0.0603481894506281
andren_lynx_roedeer_data_5,0.9407069555302168,1.5,0.03712088309036054,0.07916666001353154,0.061827663788575696,0.067174331200505,0.052644982916555116,0.06034850867469518
andren_lynx_roedeer_data_5,1.2542759407069557,2.0,0.0371244619704603,0.07918612982309148,0.061841203226310405,0.06717841431358215,0.052631696056060905,0.06034498645051169
andren_lynx_roedeer_data_5,1.8814139110604335,3.0,0.03711620460600927,0.07918329863398459,0.06183691222447128,0.0671803600420144,0.05262306464261953,0.0603423056725379
andren_lynx_roedeer_data_5,3.1356898517673892,5.0,0.03712621412450258,0.07919214746996733,0.06184558187988642,0.0671739358047715,0.052664001598640424,0.060356585042086186
andren_lynx_roedeer_data_6,0.0,0.0,0.04189276702141924,0.10970093501595132,0.08303402637498945,0.05161137281981505,0.250979438873573,0.18118279794400943
andren_lynx_roedeer_data_6,0.07328308207705193,0.25,0.04190150290991556,0.10966795973668188,0.08301444855841705,0.0516119616370547,0.25097632355768185,0.18118072409966104
andren_lynx_roedeer_data_6,0.14656616415410387,0.5,0.04189396641940518,0.10969275382310474,0.08302892466979958,0.0516113538188032,0.2509822612558268,0.18118475005929416
