series,delta,memory_timescale,m0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi
andren_lynx_roedeer_data_7,0.31622776601683794,3.162277660168379,0.07754943776657619,0.07458442635323863,0.07562647633757943,0.07510725856293832,0.16312360533232192,0.2312612694294627,0.20011382430349692,0.157950808087522,0.2854962852606936,True,0.95,3.841458820694124,success,0.01475787398853882,630.0116324156647,0.07599479545768048,8.526483162581276e-06,0.010000000000000004,0.5881001681414294,3.522599012378514e-05
andren_lynx_roedeer_data_7,0.4869675251658631,2.0535250264571463,0.07754943776657619,0.07470008371928138,0.07525389365550046,0.07497750001827554,0.16230622611466866,0.23147049855474922,0.19990235458439465,0.15740551425173424,0.18866459654932427,True,0.95,3.841458820694124,success,0.0145390947284798,630.0116324156647,0.07596785399888453,8.341715231597366e-06,0.010000000000000004,0.5890024085108666,3.493452662153842e-05
andren_lynx_roedeer_data_7,0.7498942093324559,1.333521432163324,0.07754943776657619,0.07476803079118663,0.07522615242590623,0.0749974414136826,0.16209242578631083,0.2314094869089396,0.1997802606975341,0.15748925412076512,0.2035566596995309,True,0.95,3.841458820694124,success,0.01443697053386777,630.0116324156647,0.07596346618194168,8.333757736011265e-06,0.010000000000000004,0.5893180183990793,3.4950134218119545e-05
andren_lynx_roedeer_data_7,1.0,1.0,0.07754943776657619,0.07456231226535678,0.0761120873612974,0.07534118479573554,0.15077652185557813,0.22440778247896456,0.1911706206246032,0.1589362355399048,0.45964072040288584,True,0.95,3.841458820694124,success,0.0242467629312653,763.7121506788159,0.07713336042337167,7.75479271420297e-06,0.010000000000000004,0.5996719341256146,3.494263383235596e-05
andren_lynx_roedeer_data_7,1.1547819846894583,0.8659643233600653,0.07754943776657619,0.07358384662538266,0.08129917472365517,0.07753753379794605,0.1586753977501332,0.22698063920390454,0.19582912503580266,0.16833793612909353,nan,False,,,failed,0.02428519936884963,766.7914541104778,0.07725022624985793,7.74857280605765e-06,0.010100000000000003,0.6012746741454321,3.494267202312098e-05
andren_lynx_roedeer_data_7,1.7782794100389228,0.5623413251903491,0.07754943776657619,0.07469816682441795,0.07529160524411938,0.07499547302059265,0.16239159516549523,0.23160613306701025,0.2000155382147194,0.1574809872603083,0.20208685676304555,True,0.95,3.841458820694124,success,0.014558774869748744,630.0116324156647,0.07602692917041161,8.862789295370586e-06,0.010000000000000004,0.5891334065988205,3.4958728108082866e-05
andren_lynx_roedeer_data_7,2.7384196342643614,0.36517412725483767,0.07754943776657619,0.07473345890725021,0.07522259489366227,0.07497842577294378,0.16214184974678944,0.23137707900910587,0.19978154585708918,0.15740940127888753,0.18935602986413227,True,0.95,3.841458820694124,usable_limit,0.01453106568204253,630.0116324156647,0.07596468183566561,8.495318914147722e-06,0.010000000000000004,0.5890294166391081,3.489664667655604e-05
andren_lynx_roedeer_data_7,4.216965034285822,0.23713737056616555,0.07754943776657619,0.07471498823226971,0.07473566043922751,0.07472532505060021,0.16491089150003818,0.23090287363130227,0.200638654284924,0.1563484777097001,0.0,True,0.95,3.841458820694124,usable_limit,0.01464937210256037,630.0116324156647,0.07849294573433664,3.3265297184506415e-05,0.010000223708847688,0.5944982982199903,3.473709508900039e-05
andren_lynx_roedeer_data_7,6.493816315762113,0.1539926526059492,0.07754943776657619,0.07469398086552083,0.07528249561739775,0.07498881557913253,0.16236494556516154,0.2312049341832409,0.19977249202412056,0.1574530289349122,0.1971154464174441,True,0.95,3.841458820694124,success,0.014619056056419612,630.0116324156647,0.07593806440778311,8.371503986104938e-06,0.010000000000000004,0.5885337280003555,3.4998938440301684e-05
andren_lynx_roedeer_data_7,10.0,0.1,0.07754943776657619,0.0747984493759579,0.07502465700599174,0.07491163857477169,0.1623800516937225,0.23041098527712617,0.19931947135745673,0.1571291006308022,0.13945167681140958,True,0.95,3.841458820694124,usable_limit,0.01461169540749947,630.034308947788,0.07653443037241435,1.5084824709818403e-05,0.010002235223224354,0.5900061418814174,3.5825950509066634e-05
