series,study,pathway,fear_parameter,fear_strength,profile_rss,rmse_normalized_total,validation_rmse_normalized_total,optimization_status,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,0.0777523338449749,1.5696483925456488,0.20324009605867177,0.10009257482944775,success,17.78177606695596,False,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,0.25917444614991636,1.2145410732127502,0.17877809482654528,0.07789436696832513,usable_limit,8.035332669397416,False,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,0.7775233384497491,0.9830553679283804,0.1608411579894227,0.07430005248009601,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,2.3325700153492472,3.882616214735564,0.3196468534400015,0.30278732195115227,failed,nan,False,,
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,6.092592592592593,3.889317370373992,0.31992257987692124,0.3027977593707642,failed,nan,False,,
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.0,0.4854077684406357,0.11302162909449953,0.07550143640505064,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.00027233377345295905,0.4854087341619025,0.11302174152300154,0.0755002929915139,success,7.560112140526754e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.0009077792448431969,0.48541098044460956,0.1130220030330156,0.0754942651205571,success,0.00025144992542697946,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.0027233377345295905,0.4854174174335798,0.11302275241756225,0.0754768471332597,success,0.0007553609799607219,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.008170013203588771,0.48543679311264826,0.11302500807490724,0.07542278765178043,success,0.002272119720258155,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.027233377345295906,0.4855059573478724,0.1130330595966778,0.07521143898434886,success,0.007685911505027534,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,0.0,0.48540722350963506,0.11302156565401637,0.07551913460404337,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,8.781510069854148e-07,0.4854072350663744,0.1130215669994442,0.07551948777819045,success,9.04716840443392e-07,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,2.927170023284716e-06,0.4854072626598684,0.11302157021186014,0.07551904212987294,success,3.0648674663438628e-06,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,8.781510069854148e-06,0.4854073487921196,0.1130215802393181,0.07551848677206419,success,9.80771106815763e-06,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,2.6344530209562443e-05,0.4854075779487848,0.11302160691757651,0.07550862665287296,success,2.7747182405718755e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,8.781510069854148e-05,0.4854084424782563,0.11302170756543517,0.07550858740350995,success,9.542657629457439e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,0.0,0.48542634676949037,0.1130237919491535,0.07551417266638595,success,3.4754941575437134e-08,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,3.815080719855582e-06,0.4854263478325025,0.11302379207290622,0.07551397640488663,success,1.1796933722670254e-07,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,1.271693573285194e-05,0.4854263463255176,0.11302379189746752,0.075514232477907,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,3.815080719855582e-05,0.4854263505150316,0.1130237923851983,0.0755148513986617,success,3.2796227592030503e-07,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,0.00011445242159566746,0.4854263488295452,0.11302379218897898,0.07551398537680874,success,1.9601954275818452e-07,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,0.00038150807198555816,0.485426357132646,0.11302379315560135,0.07551464490584486,success,8.460003821016175e-07,True,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,0.0,1.9294285633983614,0.23150645319769536,0.1814902901067079,usable_limit,86.80471193087783,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,0.08425667338542933,1.5579629754427893,0.20803064514117928,0.1629434432050855,success,79.10630291352102,False,0.95,3.841458820694124
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,0.2808555779514311,0.22601589113821918,0.07923521438277217,0.0778091214548543,success,9.6072534984106,False,0.95,3.841458820694124
