species,tank,cage,individual,treatment,nf1.act.mm,f.act.mm,nf2.act.mm,head.width.mm,
ensi,5,3,12,free.fish,338,202,360,2.520061,
ensi,5,3,13,free.fish,309,263,440,2.756799,
ensi,5,3,14,free.fish,362,108,519,2.018013,
ensi,5,3,15,free.fish,371,197,125,1.804966,
ensi,5,3,16,free.fish,448,227,412,2.542867,
ensi,5,3,17,free.fish,367,303,340,2.524623,
ensi,5,3,18,free.fish,269,110,419,2.045012,
ensi,5,3,19,free.fish,365,102,395,2.045012,
ensi,5,3,20,free.fish,341,143,99,1.885562,
ensi,5,3,21,free.fish,311,131,338,2.21448,
ensi,5,3,22,free.fish,360,136,435,2.514191,
ensi,6,1,1,cage,476,255,162,2.051302,
ensi,6,1,2,cage,381,297,487,2.201466,
ensi,6,1,3,cage,404,225,412,2.360624,
ensi,6,1,4,cage,179,19,349,2.67833,
ensi,6,1,5,cage,573,241,405,2.800764,
ensi,6,1,6,cage,68,200,NA,NA,
ensi,6,1,7,cage,377,317,413,2.342303,
ensi,6,1,8,cage,572,319,311,1.469518,
ensi,6,1,9,cage,463,169,355,2.077193,
ensi,6,1,10,cage,273,287,280,2.535687,
ensi,6,2,1,cage,279,165,NA,NA,
ensi,6,2,2,cage,407,253,465,2.687073,
ensi,6,2,3,cage,461,322,462,2.396107,
ensi,6,2,4,cage,343,229,NA,NA,
ensi,6,2,5,cage,112,130,264,2.31479,
ensi,6,2,6,cage,345,464,317,2.062197,
ensi,6,3,1,cage,306,49,262,2.673213,
ensi,6,3,2,cage,497,455,349,2.692783,
ensi,6,3,3,cage,283,12,294,1.989712,
ensi,6,3,4,cage,292,203,416,2.563933,
ensi,6,3,5,cage,387,255,350,2.694767,
ensi,6,3,6,cage,190,75,215,1.910056,
ensi,6,3,7,cage,378,284,454,1.78588,
ensi,6,3,8,cage,369,316,399,1.830856,
ensi,6,3,9,cage,328,148,221,1.762098,
ensi,6,3,10,cage,86,14,NA,NA,
ensi,7,1,1,cage,325,254,457,2.114377,
ensi,7,1,2,cage,331,175,447,2.371942,
ensi,7,1,3,cage,446,452,359,1.213031,
ensi,7,1,4,cage,514,52,453,2.565647,
ensi,7,1,5,cage,266,370,388,2.074769,
ensi,7,1,6,cage,35,NA,NA,NA,
ensi,7,1,7,cage,333,75,370,2.599099,
ensi,7,1,8,cage,306,311,447,1.755507,
ensi,7,1,9,cage,221,112,191,2.096109,
ensi,7,1,10,cage,232,174,249,2.15695,
ensi,7,1,11,cage,379,185,371,2.689754,
ensi,7,1,12,cage,378,275,265,2.16062,
ensi,7,1,13,cage,366,110,240,2.469409,
ensi,7,1,14,cage,487,353,288,2.201981,
ensi,7,1,15,cage,380,286,501,2.267078,
ensi,7,1,16,cage,405,371,440,2.510645,
ensi,7,1,17,cage,333,247,320,1.896514,
ensi,7,1,18,cage,203,299,239,2.198768,
ensi,7,1,19,cage,364,329,308,1.662766,
ensi,7,3,1,cage,297,289,369,2.118287,
ensi,7,3,2,cage,439,394,439,2.240806,
ensi,7,3,3,cage,343,260,335,2.007328,
ensi,7,3,4,cage,401,55,NA,2.448925,
ensi,7,3,5,cage,482,502,356,2.849742,
ensi,7,3,6,cage,303,407,274,2.696982,
ensi,7,3,7,cage,432,46,261,2.08881,
ensi,7,3,8,cage,361,310,452,2.605913,
ensi,7,3,9,cage,305,6,313,1.965384,
ensi,7,3,10,cage,438,288,206,2.040385,
