,lake,species,ind.id,act.mm,head.width.mm,mean.act.mm,diff,mean.diff,N,sd,se,recov,recov.mean,fish,fish.density
160,greenwood,ensi,4,30,2.828159,147.3157895,11,102.6842105,19,110.4928618,25.34880098,34,115.2105263,0,2.814814815
161,greenwood,ensi,5,285,2.455173,147.3157895,-25,102.6842105,19,110.4928618,25.34880098,144,115.2105263,0,2.814814815
162,greenwood,ensi,6,137,2.863199,147.3157895,85,102.6842105,19,110.4928618,25.34880098,-8,115.2105263,0,2.814814815
163,greenwood,ensi,7,136,3.344807,147.3157895,188,102.6842105,19,110.4928618,25.34880098,183,115.2105263,0,2.814814815
164,greenwood,ensi,8,273,1.704534,147.3157895,-36,102.6842105,19,110.4928618,25.34880098,-27,115.2105263,0,2.814814815
165,greenwood,ensi,9,66,2.964229,147.3157895,89,102.6842105,19,110.4928618,25.34880098,59,115.2105263,0,2.814814815
166,greenwood,ensi,10,257,2.161186,147.3157895,81,102.6842105,19,110.4928618,25.34880098,65,115.2105263,0,2.814814815
167,greenwood,ensi,12,156,2.033444,147.3157895,160,102.6842105,19,110.4928618,25.34880098,35,115.2105263,0,2.814814815
168,greenwood,ensi,13,113,2.894346,147.3157895,117,102.6842105,19,110.4928618,25.34880098,61,115.2105263,0,2.814814815
169,greenwood,ensi,14,44,1.871363,147.3157895,204,102.6842105,19,110.4928618,25.34880098,59,115.2105263,0,2.814814815
170,greenwood,ensi,15,144,1.671938,147.3157895,62,102.6842105,19,110.4928618,25.34880098,23,115.2105263,0,2.814814815
171,greenwood,ensi,16,178,1.830545,147.3157895,-148,102.6842105,19,110.4928618,25.34880098,148,115.2105263,0,2.814814815
172,greenwood,ensi,17,54,1.849227,147.3157895,205,102.6842105,19,110.4928618,25.34880098,111,115.2105263,0,2.814814815
173,greenwood,ensi,18,188,1.964762,147.3157895,-30,102.6842105,19,110.4928618,25.34880098,233,115.2105263,0,2.814814815
174,greenwood,ensi,19,200,1.758903,147.3157895,277,102.6842105,19,110.4928618,25.34880098,131,115.2105263,0,2.814814815
175,greenwood,ensi,20,162,2.386701,147.3157895,144,102.6842105,19,110.4928618,25.34880098,242,115.2105263,0,2.814814815
176,sequoyah,ensi,1,117,2.796628,189.2631579,228,61.47368421,19,126.0746553,28.92350957,284,91.84210526,0,0.098765432
177,sequoyah,ensi,2,337,1.776532,189.2631579,13,61.47368421,19,126.0746553,28.92350957,-23,91.84210526,0,0.098765432
178,sequoyah,ensi,4,242,3.080248,189.2631579,-20,61.47368421,19,126.0746553,28.92350957,15,91.84210526,0,0.098765432
179,sequoyah,ensi,5,130,2.939704,189.2631579,-43,61.47368421,19,126.0746553,28.92350957,173,91.84210526,0,0.098765432
180,sequoyah,ensi,6,65,2.546329,189.2631579,87,61.47368421,19,126.0746553,28.92350957,-31,91.84210526,0,0.098765432
181,sequoyah,ensi,7,65,2.314476,189.2631579,74,61.47368421,19,126.0746553,28.92350957,137,91.84210526,0,0.098765432
182,sequoyah,ensi,8,152,2.973765,189.2631579,169,61.47368421,19,126.0746553,28.92350957,139,91.84210526,0,0.098765432
183,sequoyah,ensi,9,152,2.35801,189.2631579,26,61.47368421,19,126.0746553,28.92350957,-152,91.84210526,0,0.098765432
184,sequoyah,ensi,10,36,2.506001,189.2631579,94,61.47368421,19,126.0746553,28.92350957,206,91.84210526,0,0.098765432
185,sequoyah,ensi,11,172,2.127583,189.2631579,-63,61.47368421,19,126.0746553,28.92350957,82,91.84210526,0,0.098765432
186,sequoyah,ensi,12,430,1.942803,189.2631579,8,61.47368421,19,126.0746553,28.92350957,-119,91.84210526,0,0.098765432
187,sequoyah,ensi,13,129,2.897234,189.2631579,220,61.47368421,19,126.0746553,28.92350957,286,91.84210526,0,0.098765432
188,sequoyah,ensi,14,307,2.746983,189.2631579,110,61.47368421,19,126.0746553,28.92350957,50,91.84210526,0,0.098765432
189,sequoyah,ensi,15,214,2.211169,189.2631579,-55,61.47368421,19,126.0746553,28.92350957,126,91.84210526,0,0.098765432
190,sequoyah,ensi,16,222,2.060237,189.2631579,-22,61.47368421,19,126.0746553,28.92350957,71,91.84210526,0,0.098765432
191,sequoyah,ensi,17,361,2.67833,189.2631579,-225,61.47368421,19,126.0746553,28.92350957,-162,91.84210526,0,0.098765432
192,sequoyah,ensi,18,100,2.370793,189.2631579,322,61.47368421,19,126.0746553,28.92350957,268,91.84210526,0,0.098765432
193,sequoyah,ensi,19,196,2.59286,189.2631579,126,61.47368421,19,126.0746553,28.92350957,225,91.84210526,0,0.098765432
194,sequoyah,ensi,20,169,2.053434,189.2631579,119,61.47368421,19,126.0746553,28.92350957,170,91.84210526,0,0.098765432
195,fayetteville,ensi,1,385,2.304735,191.5,-9,114.25,20,138.2609565,30.91608975,-108,148.25,0,2.518518519
196,fayetteville,ensi,2,39,2.936788,191.5,228,114.25,20,138.2609565,30.91608975,246,148.25,0,2.518518519
197,fayetteville,ensi,3,382,2.43627,191.5,17,114.25,20,138.2609565,30.91608975,-47,148.25,0,2.518518519
198,fayetteville,ensi,4,299,2.359646,191.5,23,114.25,20,138.2609565,30.91608975,152,148.25,0,2.518518519
199,fayetteville,ensi,5,369,2.33931,191.5,-28,114.25,20,138.2609565,30.91608975,-75,148.25,0,2.518518519
200,fayetteville,ensi,6,348,1.732127,191.5,155,114.25,20,138.2609565,30.91608975,-22,148.25,0,2.518518519
201,fayetteville,ensi,7,159,2.817808,191.5,-35,114.25,20,138.2609565,30.91608975,157,148.25,0,2.518518519
202,fayetteville,ensi,8,99,2.074876,191.5,202,114.25,20,138.2609565,30.91608975,455,148.25,0,2.518518519
203,fayetteville,ensi,9,60,2.393202,191.5,304,114.25,20,138.2609565,30.91608975,282,148.25,0,2.518518519
204,fayetteville,ensi,10,110,2.221793,191.5,183,114.25,20,138.2609565,30.91608975,255,148.25,0,2.518518519
205,fayetteville,ensi,11,72,2.360666,191.5,180,114.25,20,138.2609565,30.91608975,249,148.25,0,2.518518519
206,fayetteville,ensi,12,69,2.795233,191.5,-22,114.25,20,138.2609565,30.91608975,125,148.25,0,2.518518519
207,fayetteville,ensi,13,282,2.656659,191.5,-37,114.25,20,138.2609565,30.91608975,176,148.25,0,2.518518519
208,fayetteville,ensi,14,154,2.566267,191.5,261,114.25,20,138.2609565,30.91608975,140,148.25,0,2.518518519
209,fayetteville,ensi,15,363,1.896228,191.5,-130,114.25,20,138.2609565,30.91608975,-98,148.25,0,2.518518519
210,fayetteville,ensi,16,200,2.486036,191.5,145,114.25,20,138.2609565,30.91608975,149,148.25,0,2.518518519
211,fayetteville,ensi,17,84,2.78543,191.5,143,114.25,20,138.2609565,30.91608975,296,148.25,0,2.518518519
212,fayetteville,ensi,18,92,3.280343,191.5,112,114.25,20,138.2609565,30.91608975,192,148.25,0,2.518518519
213,fayetteville,ensi,19,66,1.873267,191.5,418,114.25,20,138.2609565,30.91608975,294,148.25,0,2.518518519
214,fayetteville,ensi,20,198,2.452386,191.5,175,114.25,20,138.2609565,30.91608975,147,148.25,0,2.518518519
215,bobkidd,ensi,1,152,3.075591,210.4210526,1,42,19,98.82869579,22.67285777,27,116.9473684,0,1.382716049
216,bobkidd,ensi,2,434,3.207167,210.4210526,-37,42,19,98.82869579,22.67285777,83,116.9473684,0,1.382716049
217,bobkidd,ensi,3,96,3.004781,210.4210526,17,42,19,98.82869579,22.67285777,6,116.9473684,0,1.382716049
218,bobkidd,ensi,4,296,2.100755,210.4210526,-35,42,19,98.82869579,22.67285777,126,116.9473684,0,1.382716049
219,bobkidd,ensi,5,277,1.978442,210.4210526,51,42,19,98.82869579,22.67285777,124,116.9473684,0,1.382716049
220,bobkidd,ensi,6,404,3.024754,210.4210526,-139,42,19,98.82869579,22.67285777,121,116.9473684,0,1.382716049
221,bobkidd,ensi,8,99,2.567165,210.4210526,-41,42,19,98.82869579,22.67285777,12,116.9473684,0,1.382716049
222,bobkidd,ensi,9,134,2.793063,210.4210526,181,42,19,98.82869579,22.67285777,183,116.9473684,0,1.382716049
